,Culture,Count
356,Avar,45
267,Asante,45
5359,Peru; north or central coast (?),44
82,Akkadian,44
393,Balinese,44
4551,Melanesian,44
3869,"Italian, Siena",44
6531,Vietnam (North),44
5179,Norwegian,44
7127,"probably Ecuadoran, Quito",44
5411,Phoenician,44
1008,Cameroon,44
6237,Taíno,43
2376,"German, Dresden",43
1405,Czech,43
697,"British, Bristol",43
2956,Hopi,42
3792,"Italian, Gubbio",42
6190,"Swiss, Zurich",42
3906,"Italian, Veneto",42
6217,Tairona,42
4696,Myanmar (Burma),41
3047,Igbo peoples,41
4306,"Kwoma, Wanyi clan",41
3,Abelam people,41
1934,French or Swiss,41
2915,Hattian,41
2398,"German, Fulda",40
1932,French or Spanish,40
1371,Costa Rica,40
2614,"German, probably Augsburg",40
571,Bolivian,40
3603,Iranian (Persian),39
6122,Sumba Island,39
4323,Langobardic,39
2188,"French, Vincennes",39
4059,"Italic, Villanovan",39
3708,Italian or German,38
774,"British, London, Spitalfields",38
21,Afghan,38
1234,"Chinese, for Continental European market",38
4615,Mississippian,38
2541,"German, Silesia",38
1337,Colombian,38
2034,"French, Lille",38
2306,German or Austrian,37
5092,Northeast China,37
1447,Democratic Republic of Congo,37
1103,Central coast (?),37
3601,Iranian,37
5856,South German,37
576,Bornean,37
2484,"German, Munich",37
3128,"India (Jammu & Kashmir, ancient kingdom of Kashmir)",37
6515,Veracruz,36
1357,Congolese,36
2927,"Helladic, Mycenaean",36
6361,Tlatilco,36
4301,"Kwoma, Amachi-Kalaba clan",36
661,"British, Birmingham, after British, London original",36
5673,"Russian, Moscow",36
2170,"French, Strasbourg",36
6197,Switzerland,36
5073,North Netherlandish,35
6075,Sri Lanka,35
3670,Italian (Venice),35
2072,"French, Mulhouse",35
1317,Chupicuaro,35
4302,"Kwoma, Kalaba clan",35
3745,"Italian, Brescia",34
1991,"French, Chaumont-sur-Loire",34
413,Baluchistan,34
3544,Indonesia (Kalimantan),34
4598,Middle Niger civilization,34
2948,Hittite,34
5609,"Roman, Egyptian",34
1944,"French, Alsace",34
2071,"French, Mulhausen",34
6370,Tolima,34
2060,"French, Mennecy",33
5789,Shipibo-Conibo,33
3975,"Italian, possibly Florence",33
6624,Western European,33
1917,French or German,33
5568,Quechua,33
5654,Russia (Siberia),32
4300,"Kwoma, Abgwala Kalaba clan",32
4906,"Neolithic, Thessaly",32
4018,"Italian, probably Milan",32
3741,"Italian, Bologna",32
4092,Japan (Ryūkyū Islands),32
994,Calima (Yotoco),31
835,"British, South Staffordshire",31
4304,"Kwoma, Sunggwei Wanyi clan",31
6364,Tlingit,31
6601,"West Bengal, Calcutta",31
625,British or American,31
2891,Guatemalan,31
6112,Sumatran,31
212,Ancestral Pueblo or Mogollon,30
1740,European (Medieval style),30
3880,"Italian, Tuscany",30
3638,Israelite,30
7120,probably Dutch,30
6388,Toraja people,30
6916,possibly Flemish,30
3769,"Italian, Faenza",30
67,"African, made in Europe",30
2154,"French, Sarreguemines",29
4257,Kuba,29
1387,Cupisnique,29
5825,Slovak,29
705,"British, Caughley",29
2086,"French, Nevers",29
2399,"German, Fürstenberg",28
2442,"German, Ludwigsburg",28
4222,Kongo peoples,28
3583,Indus,28
7053,possibly Swiss,28
246,Arabian,28
6487,Urartian,28
3887,"Italian, Umbria",28
6250,Teotihuacan,28
5878,South Italian,28
877,"British, after Italian original",28
2158,"French, Sceaux",27
954,Burma,27
6265,Thailand (Ban Chiang),27
4892,Nayarit,27
90,Albanian,26
3731,"Italian, Abruzzi",26
3710,Italian or Greek,26
3563,Indonesian,26
5370,Peruvian; north coast (?),26
1524,"Dutch, The Hague",26
2317,German or French,26
2054,"French, Marseilles",26
5397,"Philippine, Moro",26
3009,Hungarian-Slovak,25
4733,Native American (Apache),25
2645,Germany,25
5765,Seleucid or Parthian,25
1299,Chiriqui,25
2897,Guro,25
6517,Veraguas,25
3756,"Italian, Castelli",25
1410,Czech or Slovak,25
4292,Kwoma people,25
3224,India (Tamil Nadu),25
5406,Philippines (?),25
1132,China (?),25
2469,"German, Meissen with German, Augsburg decoration",25
1484,Dutch or Flemish,24
102,Algerian,24
1826,"Flemish, Antwerp",24
1714,"Etruscan, Etrusco-Corinthian",24
6353,Tiwanaku,24
2905,Haida,24
4935,"Netherlandish, Brussels",24
4429,Madurese,24
3207,"India (Rajasthan, Mewar)",24
1877,Frankish or Burgundian,24
5661,Russian or French,23
672,"British, Birmingham, after German original",23
3640,Italian (?),23
3134,"India (Jammu and Kashmir, ancient kingdom of Kashmir)",23
4973,Ngadju or Ot Danum peoples,23
2844,"Greek, South Italian, Lucanian",23
6014,"Spanish, Catalonia",23
2256,"French, probably Paris",23
4200,Kirdi (?),23
1381,Croatian,23
2685,"Greek Islands, Crete",23
4919,Nepalese,23
870,"British, after German original",23
3998,"Italian, possibly Venice (Murano)",23
1862,France,23
915,"British, probably London",23
6350,Timor,23
1058,Cenderawasih Bay,23
5591,Roman or Byzantine,22
1914,French or Flemish,22
6728,"Yoruba peoples, Oyo group",22
4285,Kwanga people,22
5172,Northwest China/Eastern Central Asia,22
6332,Tibetan or Mongolian,22
6497,Valdivia,22
2926,Helladic,22
814,"British, Northamptonshire",22
1003,Cambodia or Thailand,22
6028,"Spanish, Madrid (Buen Retiro)",22
4410,Luba peoples,22
5248,Ostrogothic,22
4684,Muisca,21
4139,Javanese people,21
4063,"Italic-Native, South Italian (Daunian)",21
5839,Songhay,21
6867,possibly Austrian,21
673,"British, Birmingham, after German, Augsburg original",21
1091,Central Italian,21
5110,Northern European,21
5743,Scandinavian,21
2773,"Greek, Eastern Mediterranean or Italian",21
1378,Cretan,21
7101,"probably British, Staffordshire",21
1254,"Chinese, for French market",21
1289,"Chinese, probably for British market",21
4620,Mixtec,21
329,"Austrian, Innsbruck",21
1745,European or American,21
2777,"Greek, Egypt, Alexandria-Hadra",21
1746,European or American (?),21
4963,New Zealand,20
1653,Edomite,20
1326,Coclé (Macaracas),20
5870,South Indian,20
3797,"Italian, Lombardy",20
1012,Canaanite,20
509,"Belgian, Tournai",20
5413,Phoenician or Carthaginian,20
5636,"Roman, probably Italian",20
3997,"Italian, possibly Venice",20
1170,"China, Turkestan",20
1158,China (possibly Turkestan),20
2974,"Hungarian, Brassó",20
4164,Kanak people,20
2433,"German, Landshut",20
2923,Hawai'i,20
5966,Spanish (?),20
4039,"Italian, probably Venice",19
1385,Cuban,19
713,"British, Coalport",19
2314,German or Dutch,19
2807,"Greek, Ptolemaic",19
2625,"German, probably Nuremberg",19
2571,"German, Westerwald",19
2833,"Greek, South Italian, Apulian, Gnathian",19
225,Anglo-Saxon,19
2187,"French, Villeroy",19
2730,"Greek, Asia Minor",19
3189,"India (Rajasthan, Bikaner)",19
4188,Kenyah or Kayan peoples,19
910,"British, probably Bristol",19
2767,"Greek, Crete",19
7239,probably Netherlandish,19
2368,"German, Cologne",19
2757,"Greek, Chalcidian",19
7071,probably Austrian,18
2327,German or South Netherlandish,18
5348,"Persian, Qajar",18
6689,Yaka peoples,18
971,Bwa peoples,18
128,American or French,18
4890,Nauru,18
6372,Tolita-Tumaco,18
4353,Lega peoples,18
1151,China (Xinjiang Autonomous Region),18
5320,Paraguayan,18
708,"British, Chelsea-Derby",18
3643,Italian (Ancient Roman),18
2839,"Greek, South Italian, Campanian, Teano",18
1288,"Chinese, probably for American market",18
6219,Tairona People; Gayraca style,18
6937,"possibly French, possibly German",18
1278,"Chinese, possibly for Dutch market",18
3300,"India, Madurai, Tamil Nadu",18
167,"American, New York",18
4510,Maori people,18
3952,"Italian, Verona",17
4202,"Kirdi, Fali group",17
5054,North German,17
3080,India (Bihar),17
7140,probably French (Nevers),17
5212,Oceanic,17
6367,Toba Batak,17
2841,"Greek, South Italian, Gnathian",17
7286,probably Swiss,17
2820,"Greek, Sicilian",17
3078,India (Bihar or West Bengal),17
3185,India (Rajasthan),17
6554,Villanovan,17
317,Austrian or German,17
2194,"French, for American market",17
2888,Guanacaste-Nicoya,17
1785,Fang peoples,17
3574,"Indonesian, Sulawesi",17
5453,"Portuguese, Lisbon",17
2832,"Greek, South Italian, Apulian, Canosan",17
4500,Mangbetu peoples,17
1836,"Flemish, Leuven",17
2890,Guatemala,17
2020,"French, Haute-Savoie",17
3546,Indonesia (Sulawesi),17
4013,"Italian, probably Florence",17
2711,Greek Neolithic,17
4468,Maltese,17
4504,Manteño,17
2506,"German, Potsdam",16
4307,Kyivan Rus’,16
2067,"French, Montpellier",16
1724,"Etruscan, Vulci",16
3461,"Indian, Thanjavur; blade, European",16
2763,"Greek, Corinthian?",16
7135,probably Flemish,16
1366,Continental European,16
4902,Neolithic,16
5993,Spanish or Portuguese,16
1931,French or South Netherlandish,16
1636,Ecuador,16
6612,West Slavic,16
4265,"Kuba peoples, Bushoong group",16
6723,"Yoruba peoples, Ijebu group",16
2579,"German, Würzburg",16
2103,"French, Paris and Sèvres",16
3156,"India (Madhya Pradesh, Malwa)",16
1311,Chokwe peoples,16
4459,Mali,16
3060,Inca (?),16
5578,Recuay,16
1442,Dayak people,16
5185,"Norwegian, Christiania",16
609,British (?),16
2070,"French, Moustiers",15
5579,Remojadas,15
5337,Pende peoples,15
1465,Dogon or Tellem  peoples (?),15
2098,"French, Orléans",15
4127,"Japanese, for export market (Hizen ware, Imari type)",15
670,"British, Birmingham, after French original",15
2092,"French, Normandy",15
2391,"German, Frankfurt",15
6708,Yortan,15
2740,"Greek, Athens",15
1365,Continental,15
1240,"Chinese, for Danish market",15
5624,"Roman, Pompeian",15
2007,"French, Dieppe",15
4676,Mossi peoples,15
1078,Central European,15
1006,Cambodian,15
1016,Canadian,15
942,Bulgarian,15
6138,"Swedish, Dalarna",15
6747,Zenú,15
6864,possibly American,15
4180,Kassite,15
7152,"probably French, Paris",15
2781,"Greek, Euboean",15
602,Brazilian,15
4917,"Nepal, Kathmandu Valley",15
1341,Colonial American,15
2782,"Greek, Ionian",14
1014,Canada (British Columbia),14
2960,Huastec,14
5066,North Indian,14
2687,"Greek Islands, Cyclades, Naxos",14
2197,"French, possibly",14
6465,Ubaid,14
760,"British, Liverpool",14
2356,"German, Bayreuth",14
1502,"Dutch, Enkhuizen",14
3000,"Hungarian, Transylvania",14
2277,Gabonese,14
797,"British, Lowestoft",14
2816,"Greek, Rhodian",14
2813,"Greek, Ptolemaic, Cretan",14
2321,German or Netherlandish,14
6523,Vicús (?),14
1112,Chachet Baining people,14
5416,Phrygian,14
6108,Sumatra,14
6046,"Spanish, Toledo",14
2342,"German, Ansbach",14
6209,Syro-Anatolian-Levantine,14
3032,Ibero-Roman,14
2924,Hawaiian,14
1791,Fante peoples,14
1293,"Chinese, probably for Swedish market",14
628,British or Dutch,14
155,"American, Japanese",14
384,Bahia,14
4988,Nigeria,14
4561,Merovingian,14
4440,Malagasy,14
6148,"Swedish, Stockholm",13
4903,"Neolithic, Gonia",13
2492,"German, Neuwied am Rhein",13
199,Amhara or Tigrinya peoples,13
5978,Spanish or French,13
5252,Ottoman,13
731,"British, Essex",13
1487,Dutch or German,13
4688,Murik Lakes,13
4626,Moche (?),13
2521,"German, Saxon",13
400,Balkan,13
527,Bhutanese,13
1313,Chorrera,13
3752,"Italian, Castel Durante",13
277,Asmat,13
741,"British, Greenwich",13
150,"American, Hartford, Connecticut",13
800,"British, Merton Abbey",13
2748,"Greek, Attic?",13
47,African (Maasai peoples),13
6114,"Sumatran, Batak",13
4580,Mexico,13
5834,Solomon Islands,13
1759,"European, Italian peninsula",13
1970,"French, Bordeaux",13
1886,French (Breton),13
7041,possibly Southern German,13
2404,"German, Hanau",13
6386,Topará,13
1215,Chinese with French mounts,13
5585,Rhodian,13
1703,Etruscan or Italic,13
2716,Greek or Etruscan,13
4606,Minangkabau people,13
4028,"Italian, probably Rome",13
3842,"Italian, Piedmont",13
5395,"Philippine, Mindanao",13
2554,"German, Thuringia",13
5514,Praenestine,13
3371,Indian textile for American market,13
6176,"Swiss, Lucerne",13
2090,"French, Niderviller",13
2585,"German, possibly Augsburg",13
3773,"Italian, Ferrara",12
3876,"Italian, Turin",12
6147,"Swedish, Skane",12
5750,"Scottish, Edinburgh and Glasgow",12
3734,"Italian, Abruzzi and Calabria",12
5329,Parthian or Sasanian,12
5570,Quimbaya,12
31,Afghanistan,12
4522,Marquesan (Enata) people,12
2013,"French, Fontainebleau",12
4905,"Neolithic, Nemea",12
2703,"Greek Islands, Rhodes",12
6518,Veraguas (?),12
886,"British, possibly",12
468,Bassa peoples,12
1032,Carolingian,12
5240,Ono Niha people,12
4795,Native American (Mission Indians of the Channel Islands),12
4527,Massim people,12
1567,"East Greek, Lydian",12
5231,Old Bering Sea,12
1614,Eastern Mediterranean or Italian,12
2838,"Greek, South Italian, Campanian, Calenian",12
6595,West African,12
4415,Luzon Island,12
3460,"Indian, Thanjavur",12
1743,European Bronze Age,12
6027,"Spanish, Madrid",12
4423,Macedonian,12
1508,"Dutch, Holland",12
2354,"German, Bavaria",12
3165,India (Orissa),12
5083,North coast (?),12
4556,Mende peoples,12
77,"Akan peoples, Asante",12
5884,South Netherlandish (?),12
2640,German?,12
424,Bamessing,12
2792,"Greek, Lydian",12
1664,"Egyptian, Roman",12
7291,probably Tibetan,11
6819,"hilt, Indian; blade, European",11
4602,Mimbres,11
3861,"Italian, Savoy",11
1315,Chumash,11
6718,"Yoruba peoples, Ekiti group",11
4891,Navajo,11
2402,"German, Hamburg",11
208,Ancestral Pueblo,11
4649,Mongolian,11
12,Acheulean,11
5005,Norfolk Island,11
6561,Visayas,11
4261,"Kuba people, Kasai cluster",11
3615,"Irish, Carrickmacross",11
6121,Sumba,11
1101,Central Tibet,11
6709,Yoruba,11
5051,North French or South Netherlandish,11
1595,Eastern European (Croatian),11
5841,Songye peoples,11
4471,Mambila peoples,11
3296,"India, Kota, Rajasthan",11
1261,"Chinese, for Scottish market",11
1276,"Chinese, possibly for British market",11
4581,Mexico (?),11
5623,"Roman, Palestinian",11
5015,North America (Alaska),11
6113,"Sumatran, Acheen",11
5741,Sawos people,11
560,"Bohemian, Prague",11
4072,Iwam people,11
3795,"Italian, Liguria",11
2715,Greek or Cypriot,11
3695,Italian or British,11
3015,Huron,11
3391,"Indian, Coorg",11
5326,Parthian (?),11
1154,China (Xinjiang Uyghur Autonomous Region),11
7256,probably Russian,11
6757,Zuni,11
1872,Franco-Netherlandish,11
744,"British, Hanley, Staffordshire",11
4768,Native American (Haida),11
5606,"Roman, Eastern Mediterranean",11
3547,Indonesia (Sumatra),11
2678,Greek ?,11
5533,Probably German,11
1591,Eastern European,11
5041,North Coast (?),11
734,"British, Exeter",11
5394,"Philippine, Manila",11
2049,"French, Lyon",11
6159,Swiss or German,11
5078,North Spanish,11
5200,Nupe peoples,11
3704,Italian or Flemish,11
5805,Sienese,11
5564,Punuk,11
5887,South Netherlandish or German,11
3516,Indo-Persian,10
6025,"Spanish, Granada",10
1374,Costa Rica or Panama,10
6318,Tibet (Central Asia?),10
563,"Bohemian, Riesengebirge (Krkonoše)",10
3498,"Indian, south India",10
5792,Shuar or Achuar (?),10
2291,German (?),10
5159,Northern New Ireland,10
1805,Finnish,10
7079,probably Belgian,10
5626,"Roman, Rhenish",10
4328,Langobardic or Byzantine (?),10
837,"British, Southall, London",10
3945,"Italian, Venice or Turkish",10
1819,Flemish or Italian,10
2126,"French, Rennes",10
1784,Fang people,10
1404,Cypro-Phoenician,10
1400,Cypriot or Phoenician,10
849,"British, Surrey",10
6574,Wapo,10
1194,Chinese for export,10
2420,"German, Iserlohn",10
4153,Kairak Baining people,10
759,"British, Linthorpe, Yorkshire",10
4035,"Italian, probably Urbino",10
5454,"Portuguese, Oporto",10
748,"British, Lambeth",10
6755,Zulu or Nguni peoples,10
824,"British, Preston",10
5468,Possibly Cypriot,10
1662,"Egyptian, Ptolemaic",10
4397,Lower Niger Bronze Industry,10
4284,Kwakwaka’wakw (Kwakiutl),10
7197,probably Irish,10
4029,"Italian, probably Sicily",10
2991,"Hungarian, Nagyszeben",10
4151,Kabyle peoples,10
6734,Yup'ik,10
633,British or German,10
2551,"German, Strasbourg",10
6726,"Yoruba peoples, Owo group",10
5749,"Scottish, Edinburgh",10
4708,Naga,10
3356,Indian (north),10
660,"British, Birmingham, after British original",10
2901,Guyanese,10
5631,"Roman, Syro-Palestinian",10
6387,Toraja,10
2893,Guerrero,10
4679,Mountain Ok people,10
5017,"North America (Alaska, Cape Prince of Wales)",10
1697,Ethiopian,10
2226,"French, possibly Nantes",10
5681,"Russian, Tula",10
3626,Isin-Larsa,10
5022,"North America (Alaska, Kotzebue Sound)",10
4375,Lobi,10
1229,"Chinese, for British or American market",10
5773,Sentani people,10
3824,"Italian, Montelupo",10
6277,Thailand (Lu Mien Yao),9
5751,"Scottish, Glasgow",9
7026,possibly Polish,9
536,Biwat people,9
5730,Sarmatian,9
257,Archaic,9
6174,"Swiss, La Chaux-de-Fonds",9
1256,"Chinese, for German market",9
2951,Hohokam,9
4321,Lampung people,9
3539,"Indonesia (Java, Ngandjuk)",9
2081,"French, Nantes or Rouen",9
4548,Mbuti peoples,9
4253,Kpelle or Kimbuzi peoples,9
2247,"French, probably Beauvais",9
5300,Panamanian,9
5369,Peruvian; central coast (?),9
2176,"French, Toulouse",9
2875,"Greek, probably Attic",9
129,American or German,9
3035,Ibibio peoples,9
2908,Halaf,9
1036,Carthaginian,9
2045,"French, Lunéville",9
6302,Thailand or Cambodia,9
2004,"French, Creil",9
2040,"French, Lorraine",9
2123,"French, Provincial",9
6968,possibly Indian,9
380,Baga peoples,9
5940,Southern Italy,9
1681,English,9
4770,Native American (Hopi),9
584,"Bornean, Dyak",9
2641,Germanic,9
796,"British, Longton Hall, Staffordshire",9
5412,Phoenician (?),9
1561,East Greek or Lydian,9
3456,"Indian, South Indian",9
1460,Diquís,9
3236,"India (Uttar Pradesh, Mathura)",9
4894,Ndebele peoples,9
2713,Greek or Achaemenid,9
4411,Luluwa peoples,9
5481,Possibly German,9
4655,Montenegrin,9
2552,"German, Stuttgart",9
3989,"Italian, possibly Rome",9
2679,Greek Islands,9
2795,"Greek, Macedonian",9
3992,"Italian, possibly Sicily",9
1511,"Dutch, Leeuwarden",9
5551,Proto-Elamite,9
1539,Dyak,9
2605,"German, possibly Saxony",9
3374,"Indian, Assam",9
5849,South African,9
5487,Possibly Italian,9
1675,Elema people,9
6483,Upper Rhenish,9
1569,"East Greek, Rhodian",9
871,"British, after German, Augsburg original",9
6877,possibly Bohemian,8
3445,"Indian, Rajput",8
5851,South American,8
1958,"French, Avon",8
7027,possibly Portuguese,8
2876,"Greek, probably Boeotian",8
4006,"Italian, probably Burano",8
3808,"Italian, Mantua",8
209,Ancestral Pueblo (Four Mile),8
4003,"Italian, probably Brescia",8
2540,"German, Siegburg",8
6872,possibly Belgian,8
1222,"Chinese, Macao, for Iberian market",8
5782,"Senufo peoples, Jimini group",8
1328,Coclé (Parita),8
5577,Rapa Nui people,8
617,British and French,8
4687,Mumuye peoples,8
6503,Venetian,8
6962,possibly Greek,8
1643,Edo,8
1505,"Dutch, Haarlem",8
1641,Ecuadorian,8
1024,Carajá,8
6151,"Swedish, Vadstena",8
4396,Lower Murray River region,8
755,"British, Leeds",8
7109,probably Chinese,8
5852,South American (Bolivian),8
4026,"Italian, probably Pesaro",8
1009,Cameroonian,8
2212,"French, possibly Jouy-en-Josas",8
2464,"German, Meissen with French mounts",8
3289,"India, Guler, Himachal Pradesh",8
5855,South French,8
4990,Nigerian,8
6000,"Spanish, Alcora",8
6240,Teke peoples,8
3627,Isin-Larsa–Old Babylonian,8
6645,"Western India, Rajasthan, Udaipur",8
1452,Dida peoples,8
729,"British, East Midlands",8
5223,"Okpoto peoples, Idoma group",8
3554,Indonesia(?),8
4591,Micmac,8
4523,Marshallese,8
2727,"Greek, Arcadian",8
4645,Mongolia,8
1775,Ewe peoples,8
676,"British, Birmingham, after German, Nuremberg original",8
386,Bahinemo people,8
427,Bamileke,8
1564,"East Greek, Clazomenian",8
3367,"Indian or Nepalese, Gurkha",8
2309,German or Bohemian,8
6055,"Spanish, possibly Catalonia",8
4184,Kazakhstan,8
5915,Southern German or Austrian,8
104,"Algerian, Kabyle",8
3719,Italian or Sicilian,8
1352,Columbia River,8
2599,"German, possibly Nuremberg",8
3526,Indonesia (East Java),8
3537,"Indonesia (Java, Majapahit?)",8
2347,"German, Augsburg or Nuremberg",8
2138,"French, Saint-Amand-en-Puisaye",8
4722,Nasca (?),8
659,"British, Birmingham, Warwickshire",8
5530,Probably French,8
3206,"India (Rajasthan, Marwar)",8
3475,"Indian, for European market",8
5844,Sonso,8
3376,"Indian, Assam, Naga Hills",8
1516,"Dutch, Maastricht",8
182,"American, Springfield, Massachusetts and New York",8
447,Bamunka,8
5040,North China and south-central Inner Mongolia,8
299,Atauro Island,8
5784,Serbian,8
2555,"German, Thuringia (Gotha)",8
953,Burkinabe,8
